Unnamed: 0	command	Description	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7
0	ifconfig	Show all active interactive network interface details.					
1	ifconfig	How do I check link, hardware address, inetaddress, broadcast address etc. of all active network interfaces?					
2	ifconfig	How do I check which all active network hardware I have in my computer?					
3	ifconfig -a	Show all interactive network interface details. Output should also include interfaces that are down.					
4	ifconfig -a	How do I check link, hardware address, inetaddress, broadcast address etc. of all network interfaces?					
5	ifconfig -a	Check the network hardware I have in my computer, even ones that are down.					
6	ifconfig -s	Show all interactive network interface in a short list.					
7	ifconfig -s	List of all interface networks in short form.					
8	ifconfig -s	How do I check which active network hardware I have in my computer in short form?					
9	ifconfig -v	Show all interactive network interface details in a verbose way.					
10	ifconfig -v	How do I check link, hardware address, inetaddress, broadcast address etc. of all active network interfaces with error messages?					
11	ifconfig -v	How do I check which network hardware I have in my computer in a verbose way?					
12	ifconfig eth0	Turn device eth0 up.					
13	ifconfig eth0	Turn card eth0 up.					
14	ifconfig eth0	How do I turn up my eth0 card?					
15	ifconfig eth0	Turn down device eth0.					
16	ifconfig eth0	Disable card eth0 down.					
17	ifconfig eth0	How do I disable my eth0 card?					
18	ifconfig eth0	Make ip address of eth0 to be 172.16.25.125.					
19	ifconfig eth0	How do I assign ip address 172.16.25.125 to interface eth0?					
20	ifconfig eth0	Change ip address of eth0 = 172.16.25.125.					
21	ifconfig enp2s0	Show network interface details of enp2s0.					
22	ifconfig enp2s0	How do I check link, hardware address, inetaddress, broadcast address etc. of enp2s0 interface.					
23	ifconfig enp2s0	Display details of enp2s0 network interface only.					
24	ifconfig enp2s0	Make netmask of enp2s0 as 255.255.255.224.					
25	ifconfig enp2s0	How do I assign network mask as 255.255.255.224 to interface enp2s0?					
26	ifconfig enp2s0	Change netmask address of enp2s0 = 255.255.255.224.					
27	ifconfig lxcbr0	Set broadcast address of lxcbr0 as 172.16.25.63.					
28	ifconfig lxcbr0	How do I assign broadcast address as 172.16.25.63 to interface lxcbr0?					
29	ifconfig lxcbr0	Change broadcast address of lxcbr0 = 172.16.25.63.					
30	ifconfig enp2s0	Make ip as 172.16.25.125 ,netmask as 255.255.255.244 ,broadcast address as 172.16.25.63 for the interface enp2s0.					
