command,Description,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
ifconfig -a,Show all interactive network interface details. Output should also include interfaces that are down.,,,,,
ifconfig -a,How do I check link, hardware address, inetaddress, broadcast address etc. of all network interfaces?,,
ifconfig -a,Check the network hardware I have in my computer, even ones that are down.,,,,
ifconfig -s,Show all interactive network interface in a short list.,,,,,
ifconfig -s,List of all interface networks in short form.,,,,,
ifconfig -s,How do I check which active network hardware I have in my computer in short form?,,,,,
ifconfig -v,Show all interactive network interface details in a verbose way.,,,,,
ifconfig -v,How do I check link, hardware address, inetaddress, broadcast address etc. of all active network interfaces with error messages?,,
ifconfig -v,How do I check which network hardware I have in my computer in a verbose way?,,,,,
ifconfig -s,Give the status of the interface eth0 in short form.,,,,,
ifconfig -s,Show the status of the interface eth0 in a short list.,,,,,
ifconfig -s,How to see the status of eth0 in short form?,,,,,
ifconfig -s,Single command to see details of the interface eth0 in a brief form.,,,,,
ifconfig -v,Give the status of the interface eth0 in verbose form.,,,,,
ifconfig -v,Show the status of the interface eth0 in a verbose way.,,,,,
ifconfig -v,How to see the verbose details of error conditions of eth0?,,,,,
ifconfig -v,Single command to see details of any error conditions for the interface eth0 in a verbose form.,,,,,
ifconfig -a,Show all interactive network interface details in a short list. Output should also include interfaces that are down.,,,,,
ifconfig -a,How do I check link, hardware address, inetaddress, broadcast address etc. of all network interfaces? Output should be presented in a short list.,,
ifconfig -a,Check the network hardware I have in my computer, even ones that are down in the form of a short list.,,,,
mv --backup,Move test1.cpp into directory dir1 under the name test2.cpp . Create backup at the destination.,,,,,
mv --backup,Shift test1.cpp to dir1 folder. Change name to test2.cpp. Make a backup in dir1.,,,,,
mv --backup,How do I transfer test1.cpp present in this folder to destination folder dir1 and rename it to test2.cpp along with making backup in dir1?,,,,,
mv --backup,Change location of test1.cpp to dir/ and rename it to test2.cpp and create a backup.,,,,,
mv --backup=existing,Move test1.cpp into directory dir1 under the name test2.cpp . Create backup at the destination using existing option.,,,,,
mv --backup=existing,Shift test1.cpp to dir1. Rename it to test2.cpp. Take numbered backup of all files in dir1 if numbered backup already exists, otherwise take simple backup.,,,,
mv --backup=existing,How do I transfer test1.cpp to dir1/test2.cpp? Take backup of all files in destination folder using existing backup strategy of the folder?,,,,,
mv --backup=t,Move test1.cpp into directory dir1 under the name test2.cpp . Create numbered backup at the destination.,,,,,
mv --backup=t,Shift test1.cpp to destination folder dir1 present in the working directory. Create numbered backup of all files in dir1. Rename the file to test2.cpp.,,,,,
mv --backup=t,How do I transfer test1.cpp to destination folder dir1, rename it to test2.cpp and create numbered backup?,,,,
mv -f,Move file1.doc inside fold1 directory as file2.doc and overwrite without asking.,,,,,
mv -f,How do I shift file1.doc to folder fold1? Rename file1.doc to file2.doc and overwrite file2.doc if it exists?,,,,,
mv -f,Transfer file1.doc to fold1/file2.doc and overwrite if file2.doc exists.,,,,,
mv -i,Move file1.doc inside fold1 directory as file2.doc and do not overwrite without asking.,,,,,
mv -i,Change location of file1.doc to fold1 in current folder and rename it to file2.doc. If file2.doc exists, prompt before overwriting.,,,,
mv -i,How do I rename file1.doc to file2.doc and move it inside fold1? If file2.doc exists in fold1, confirm before replacing?,,,,
mv -i,Change location of file1.doc from current directory to fold1. If file2.doc exists in fold1, prompt before replacing. Otherwise change name of file1.doc to file2.doc.,,,,
mv -n,Move file1.doc inside fold1 directory as file2.doc and do not overwrite.,,,,,
mv -n,How do I shift file1.doc to a folder named fold1.doc and rename it to file2.doc? Do not overwrite an existing file of the same name.,,,,,
mv -n,Shift file1.doc to fold1. Rename to file2.doc without overwriting.How do I change location of file1.doc present in this folder to fold1 also present in  this folder? Rename to file2.doc without replacing an existing file of the same name.,,,,,
mv -b,Move test1.cpp into directory dir1 under the name test2.cpp . Create backup at the destination with .bk extension.,,,,,
mv -b,Cut test1.cpp file and paste it in dir1 folder with name test2.cpp . Create backup, if necessary, with .bk appended to the file name.,,,
mv -b,Change the location of file test1.cpp to dir1 with name test2.cpp and create backup with .bk extension.,,,,,
mv --help,Display help for mv command.,,,,,
mv --help,Show help menu for mv command.,,,,,
mv --help,Show usage of mv command.,,,,,
mv --help,How to use mv command?,,,,,
mv --help,Which options are available for mv command?,,,,,
mv --version,Display details about mv command.,,,,,
mv --version,Show version and author details for mv .,,,,,
mv --version,Which version of mv am I using?,,,,,
mv --version,Who are the authors of mv command?,,,,,
mv -v,Move file1.txt to dest1 directory and give me a details.,,,,,
mv -v,Shift file1.txt -> dest1/file1.txt and show the progress.,,,,,
mv -v,Shift the location of file1.txt from current directory to dest1 directory, which is in current directory. Also give acknowledgement of operations.,,,,
mv -v,Showing the progress of operation, transfer the file file1.txt to dest1 directory.,,,,
mv -u,Move file1.txt to dest1 directory if it is newer than the file in dest1 or is non-existant.,,,,,
mv -u,If file1.txt in dest1 is older than file1.txt in pwd , file1.txt -> dest1/file1.txt .,,,,
mv -u,Shift the file file1.txt to dest1 directory if it is newer.,,,,,
mv -Z,Move file1.txt to dest1 directory and change security context to default.,,,,,
mv -Z,Shift file1.txt -> dest1/file1.txt and update the SELinux security to default.,,,,,
mv -Z,Shift the location of file1.txt to dest1 folder and set SELinux security to default.,,,,,
mv --strip-trailing-slashes,Move unknown// to dest1 directory after removing trailing slashes.,,,,,
mv --strip-trailing-slashes,Shift unknown// to dest1 after removing following slashes from the unknown// .,,,,,
mv --strip-trailing-slashes,Change the location of unknown// to dest1/unknown// after removing trailing slashes from the source.,,,,,
mv -t,Move the flv to the directory youtube .,,,,,
mv -t,Change the location of flv to youtube/flv .,,,,,
mv -t,Move flv -> youtube/flv,,,,,
mv -t,Shift the file flv into youtube directory.,,,,,
mv -T,Rename the file ogg to flv .,,,,,
mv -T,Change the name of ogg to file flv .,,,,,
mv -T,Treat flv as file. Change the file ogg to flv .,,,,,
mv -bv,Move the file duplicate.txt to directory original and create backup. Show me the details of work done.,,,,,
mv -bv,Move duplicate.txt -> original/duplicate.txt and create backup. Show the which were moved.,,,,,
mv -bv,Shift the file duplicate.txt into original directory. Create backup, if required, and show the tasks performed.,,,
mv -v,Move the file duplicate.txt to directory original and do not create backup. Show me the details of work done.,,,,,
mv -v,Move duplicate.txt -> original/duplicate.txt and show the operations performed. Do not create backup.,,,,,
mv -v,Without creating backup move the file duplicate.txt inside original directory and display the tasks performed.,,,,,
mv -v,Move the file duplicate.txt to directory original and create numbered backup. Show me the details of work done.,,,,,
mv -v,Creating numbered backup, move duplicate.txt file into original directory and show the tasks performed.,,,,
mv -v,Shift duplicate.txt -> original/duplicate.txt creating numbered backups and give the details of operations performed.,,,,,
mv -v,Move the file duplicate.txt to directory original and create existing backup. Show me the details of work done.,,,,,
mv -v,Use the existing form of backup and move duplicate.txt to original .,,,,,
mv -v,Shift ./duplicate.txt -> ./original/duplicate.txt and keep the backup in existing format.,,,,,
mv -buv,Move the file duplicate.txt to directory original, if it is newer than the one in destination, and create backup. Show me the details of work done.,,,
mv -buv,If the file in destination is older then, duplicate.txt -> original/duplicate.txt and make the backup of old duplicate.txt giving the acknowledgement of tasks done.,,,,
mv -buv,Shift the file duplicate.txt into original directory, if the destination file is older and make backup of the old file. Show the tasks performed.,,,,
mv -uv,Move the file duplicate.txt to directory original, if the destination has older file, and do not create backup. Show me the details of work done.,,,
mv -uv,Without creating backup, move the file duplicate.txt to original folder and give the account of operations done. Perform this only when destination has older version of file.,,,,
mv -uv,Move duplicate.txt -> original/duplicate.txt , if the destination has older file, without maintaining a backup and display the tasks performed.,,,
mv -uv,Move the file duplicate.txt to directory original, if the destination has older file, and create numbered backup. Show me the details of work done.,,,
mv -uv,Creating numbered backups, move duplicate.txt to original folder, if the destination has an older one and display the tasks done.,,,
mv -uv,Move duplicate.txt -> original/duplicate.txt and create backup by numbering files. Perform the operations only if duplicate.txt is newer than the duplicate.txt in original directory or is absent. Give the summary of tasks performed.,,,,,
mv -uv,Move the file duplicate.txt to directory original, if the destination has older file, and create existing backup. Show me the details of work done.,,,
mv -uv,If the destination file is older then, shift the file duplicate.txt to original folder and make existing style of backups. Perform tasks verbosely.,,,,
mv -uv,Shift duplicate.txt -> original/duplicate.txt if the source file is newer and use existing backup format. Verbosely do the tasks.,,,,,
mv -nv,Move the file undo.txt to redo directory and do not overwrite the existing file. Give me the details of operation.,,,,,
mv -nv,Shift the file undo.txt to redo directory without replacing any file in destination. Show the tasks performed.,,,,,
mv -nv,Shift undo.txt -> redo/undo.txt and do not replace any file. Display the operations performed.,,,,,
mv -nZ,Move bleach.txt file to anime directory. Do not overwrite existing files and set SELinux security context to default settings.,,,,,
mv -nZ,Move bleach.txt -> anime/bleach.txt and do not overwrite the destination files. Set SELinux security to default.,,,,,
mv -nZ,Shift bleach.txt into anime folder, if no other file of same name is present in destination. Configure SELinux security to default value.,,,,
